"Story","Title","Result","Date","Stability","Duration (s)"
"Account","Accounts - logged out state","SUCCESS","2018-11-05T20:02:23.458+05:30[Asia/Calcutta]","0.0","19.99"
"Account","Accounts - logged in state","SUCCESS","2018-11-05T20:02:47.096+05:30[Asia/Calcutta]","0.0","38.58"
"Account","Accounts - Oracle Account links verify","SUCCESS","2018-11-05T20:03:29.19+05:30[Asia/Calcutta]","0.0","36.34"
"Account","Accounts - Cloud Sign In links verify","SUCCESS","2018-11-05T20:04:12.557+05:30[Asia/Calcutta]","0.0","39.15"
"Contact","Contact","SUCCESS","2018-11-05T20:04:55.181+05:30[Asia/Calcutta]","0.0","17.28"
"Country list","Show regions and its countries","SUCCESS","2018-11-05T20:05:16.032+05:30[Asia/Calcutta]","0.0","26.74"
"Menu","Menu","SUCCESS","2018-11-05T20:05:46.315+05:30[Asia/Calcutta]","0.0","13.9"
"Menu","Navigate tositepage","SUCCESS","2018-11-05T20:06:03.706+05:30[Asia/Calcutta]","0.0","29.62"
"Menu","Hover over menu","SUCCESS","2018-11-05T20:06:36.903+05:30[Asia/Calcutta]","0.0","27.83"
"Searchautosuggest","Suggest search keywords","SUCCESS","2018-11-05T20:07:08.332+05:30[Asia/Calcutta]","0.0","26.46"
"Searchautosuggest","Autosuggest retracts","SUCCESS","2018-11-05T20:07:38.282+05:30[Asia/Calcutta]","0.0","33.63"
"Searchautosuggest","Autosuggest reappears as user types keyword","SUCCESS","2018-11-05T20:08:15.453+05:30[Asia/Calcutta]","0.0","43.11"
"Searchautosuggest","Select from auto suggestedkeywords","SUCCESS","2018-11-05T20:09:02.228+05:30[Asia/Calcutta]","0.0","65.88"
"Site Search","Search - Inactive","SUCCESS","2018-11-05T20:10:11.539+05:30[Asia/Calcutta]","0.0","18.23"
"Site Search","Search - Active","SUCCESS","2018-11-05T20:10:33.282+05:30[Asia/Calcutta]","0.0","20.57"
"Site Search","Search with a keyword","SUCCESS","2018-11-05T20:11:50.738+05:30[Asia/Calcutta]","0.0","20.44"
